key,value
--palamu,6562
--palghar,2525
--pali,2932
--palwal,1275
--panch mahals,2672
--panchkula,172
--panipat,180
--panna,7732
--papum pare,360
--parbhani,2452
--patan,2766
--pathanamthitta,468
--patiala,175
--patna,612
--pauri garhwal,1368
--perambalur,4328
--peren,3839
--phek,3865
--pilibhit,5882
--pithoragarh,5964
--pondicherry,413
--poonch,1965
--porbandar,286
--prakasam,8592
--pratapgarh,1478:5342
--prayagraj,532
--pudukottai,4322
--pulwama,1933
--pune,20
--puri,6752
--purnea,6454
--purulia,3252
--raebareli,535
--raichur,8532
--raigarh,7762:2141
--raipur,771
--raisen,7482
--rajgarh,7372
--rajkot,281
--rajnandgaon,7744
--rajouri,1962
--rajsamand,2952
--ramanathapuram,4567
--ramban,1998
--rampur,595
--ranchi,651
--rangareddi,40
--ratlam,7412
--ratnagiri,2352
--rayagada,6856
--reasi,1991
--rewa,7662
--rewari,1274
--ri bhoi,3638
--rohtak,1262
--rohtas (sasaram),6184
--rudraprayag,1364
--rupnagar,1881
--sabar kantha,2772
--sagar,7582
--saharanpur,132
--saharsa,6478
--sahibganj,6436
--saiha,3835
--salem,427
--samastipur,6274
--samba,1923
--sambalpur,663
--sangli,233
--sangrur,1672
--sant kabir nagar,5547
--sant ravidas nagar,5414
--saran (chapra),6152
--sas nagar,172
--satara,2162
--satna,7672
--sawai madhopur,7462
--sehore,7562
--senapati,3871
--seoni,7692
--seraikela,6597
--serchhip,3838
--shahdol,7652
--shahjahanpur,5842
--shajapur,7364
--sheikhpura,6341
--sheohar,6222
--sheopur,7530
--shimla,177
--shimoga,8182
--shivpuri,7492
--shravasti,5250
--siddharthnagar,5544
--sidhi,7622
--sikar,1572
--simdega,6525
--sindhudurg,2363
--singrauli,7805
--sirmaur,1702
--sirohi,2972
--sirsa,1666
--sitamarhi,6226
--sitapur,5862
--sivaganga,4575
--sivasagar,3772
--siwan,6154
--solan,1792
--solapur,217
--sonbhadra,5444
--sonipat,130
--sonitpur,3712
--south 24 parganas,33
--south delhi,11
--south dinajpur (dakshin),3522
--south garo hills,3639
--south goa,832
--south tripura,3821
--south west delhi,11
--sri ganganagar,154
--srikakulam,8942
--srinagar,194
--subarnapur,6654
--sultanpur,5362
--sundergarh,6622
--supaul,6473
--surat,261
--surendranagar,2752
--surguja,7774
--tamenglong,3877
--tapi,2792
--tarn taran,1852
--tawang,3794
--tehri garhwal,1376
--thane,22
--thanjavur,4362
--the nilgiris,423
--theni,4546
--thiruvananthapuram,471
--thiruvarur,4366
--thoothukudi,461
--thouba,3848
--thrissur,487
--tikamgarh,7683
--tinsukia,374
--tirap,3786
--tiruchirappalli,431
--tirunelveli,462
--tiruppur,421
--tiruvallur,44
--tiruvannamalai,4175
--tonk,1432:1432
--tuensang,3861
--tumkur,816
--udaipur,294
--udalguri,3711
--udham singh nagar,5944
--udhampur,1992
--udupi,8252
--ujjain,734
--ukhrul,3870
--umaria,7653
--una,1975
--unnao,515
--upper siang,3777
--upper subansiri,3792
--uttar kannada,8382
--uttarkashi,1374
--vadodara,265
--vaishali (hajipur),6224
--valsad,2632
--varanasi,542
--vellore,416
--vidisha,7592
--villupuram,4146
--virudhunagar,4562
--visakhapatnam,891
--vizianagaram,8922
--warangal,8712
--wardha,7152
--washim,7252
--wayanad,4936
--west champaran (bettiah),6254
--west delhi,11
--west garo hills,3651
--west godavari,8812
--west kameng,3782
--west khasi hills,3654
--west medinipur (paschim),3222
--west siang,3783
--west singhbhum,6582
--west tripura,3825
--wokha,3860
--yamunanagar,1732
--yanam,884
--yavatmal,7232
--ysr district,8562
--zunheboto,3867
an-andaman islands,3192
an-nicobar islands,3193
ap-achampet,8541
ap-adilabad,8732
ap-adoni,8512
ap-alampur,8502
ap-allagadda,8519
ap-alur,8523
ap-amalapuram,8856
ap-amangallu,8545
ap-anakapalle,8924
ap-anantapur,8554
ap-andole (jogipet),8450
ap-araku,8936
ap-armoor,8463
ap-asifabad,8733
ap-aswaraopet,8740
ap-atmakur,8517:8504:8627
ap-b.kothakota,8582
ap-badvel,8569
ap-banaganapalle,8515
ap-bandar (machilipatnam),8672
ap-bangarupalem,8573
ap-banswada,8466
ap-bapatla,8643
ap-bellampalli,8735
ap-bhadrachalam,8743
ap-bhainsa,8752
ap-bheemunipatnam,8933
ap-bhimadole,8829
ap-bhimavaram,8816
ap-bhongir,8685
ap-bhooragamphad (manuguru),8746
ap-boath (echoda),8751
ap-bobbili,8944
ap-bodhan,8467
ap-chandoor,8681
ap-chavitidibbalu,8863
ap-chejerla,8628
ap-chepurupalli (garividi),8952
ap-cherial,8710
ap-chevella,8417
ap-chinnor,8737
ap-chintalapudi,8823
ap-chintapalle,8937
ap-chirala,8594
ap-chittoor,8572
ap-chodavaram,8934
ap-cuddapah,8562
ap-cumbum,8406
ap-darsi,8407
ap-devarakonda,8691
ap-dharmavaram,8559
ap-dichpalli,8461
ap-divi (challapalli),8671
ap-donakonda,8408
ap-dronachalam,8516
ap-eluru,8812
ap-eturnagaram,8717
ap-gadwal,8546
ap-gajapathinagaram,8965
ap-gajwel,8454
ap-garladinne,8551
ap-giddalur,8405
ap-gooty (guntakal),8552
ap-gudivada,8674
ap-gudur,8624
ap-gudur (kodumur),8525
ap-guntur,863
ap-hazurnagar,8683
ap-hindupur,8556
ap-husnabad,8721
ap-huzurabad,8727
ap-hyderabad loc,40
ap-hyderabadeast (ghatkeswar),8415
"ap-hyderabadwest 
(shamshabad)",8413
ap-ibrahimpatnam,8414
ap-jaggayyapet,8654
ap-jagtial,8724
ap-jammalamadugu,8560
ap-jangaon,8716
ap-jangareddygudem,8821
ap-jannaram (luxittipet),8739
ap-kadiri,8494
ap-kaikaluru,8677
ap-kakinada,884
ap-kalwakurthy,8549
ap-kalyandurg,8497
"ap-kamalapuram 
(yerraguntala)",8563
ap-kamareddy,8468
ap-kambadur,8492
ap-kanaganapalle,8491
ap-kandukuru,8598
ap-kanigiri,8402
ap-karimnagar,878
ap-kavali,8626
ap-khammam,8742
ap-khanapur (ap),8730
ap-kodangal,8505
ap-koduru,8566
ap-koilkuntla,8510
ap-kollapur,8501
ap-kothagudem,8744
ap-kovvur,8622
ap-kovvur (nidadavolu),8813
ap-krosuru,8640
ap-kuppam,8570
ap-kurnool,8518
ap-lakkireddipalli,8567
ap-madakasira,8493
ap-madanapalli,8571
ap-madhira,8749
ap-madnur,8464
ap-mahabubbad,8719
ap-mahabubnagar,8542
ap-mahadevapur,8720
ap-makthal,8503
ap-mancherial,8736
"ap-mandapeta 
(ravulapalem)",8855
ap-mangalagiri,8645
ap-manthani,8729
ap-markapur,8596
ap-marturu,8404
ap-medak,8452
ap-medarmetla,8593
ap-medchal,8418
ap-metpalli,8725
ap-miryalguda,8689
ap-mulug,8715
ap-mylavaram,8659
ap-nagarkurnool,8540
ap-nalgonda,8682
"ap-nallacheruvu 
(tanakallu)",8498
ap-nampalle,8692
ap-nandigama,8678
ap-nandikotkur,8513
ap-nandyal,8514
ap-narasampet,8718
ap-narayankhed,8456
ap-narayanpet,8506
ap-narsapur,8458
ap-narsapur (palakole),8814
ap-narsaraopet,8647
ap-narsipatnam,8932
ap-nellore,861
ap-nidamanur (hillcolony),8680
ap-nirmal,8734
ap-nizamabad,8462
ap-nuguru (cherla),8747
ap-nuzvidu,8656
ap-ongole,8592
ap-outsarangapalle,8753
ap-paderu,8935
ap-pakala,8585
ap-palakonda (rajam),8941
ap-palmaneru,8579
ap-palnad (macherala),8642
ap-pamuru,8490
ap-pargi,8412
ap-parkal,8713
ap-parvathipuram,8963
ap-pathapatnam (hiramandalam),8946
ap-pattikonda,8520
ap-peapalle,8522
ap-peddapalli,8728
ap-peddapuram,8852
ap-penukonda,8557
ap-piduguralla,8649
ap-piler,8584
ap-pithapuram,8869
ap-podili,8499
ap-polavaram,8811
ap-proddatur,8564
ap-pulivendla,8568
ap-punganur,8581
ap-putturu,8577
ap-rajahmundri,883
ap-rajampeta,8565
ap-ramachandrapuram,8857
ap-ramannapet,8694
ap-rampachodavaram,8864
ap-rapur (podalakur),8621
ap-rayachoti,8561
ap-rayadurg,8495
ap-razole,8862
ap-repalle,8648
ap-saluru,8964
ap-sangareddy,8455
ap-sathupalli,8761
ap-sattenapalli,8641
ap-satyavedu,8576
ap-shadnagar,8548
ap-siddavattam,8589
ap-siddipet,8457
ap-sileru,8938
ap-sircilla,8723
ap-sirpurkagaznagar,8738
ap-sodam,8583
ap-sompeta,8947
ap-srikakulam,8942
ap-srikalahasthi,8578
ap-srisailam,8524
"ap-srungavarapukota 
(kothvls)",8966
ap-sudhimalla (tekulapalli),8741
ap-sullurpet,8623
ap-suryapet,8684
ap-tadepalligudem,8818
ap-tadipatri,8558
ap-tanduru,8411
ap-tanuku,8819
ap-tekkali (palasa),8945
ap-tenali,8644
ap-thungaturthy,8693
ap-tirivuru,8673
ap-tirupathi,877
ap-tuni,8854
ap-udaygiri,8620
ap-ulvapadu,8599
ap-uravakonda,8496
ap-utnor,8731
ap-v.r.puram,8748
ap-vaimpalli,8588
ap-vayalpad,8586
ap-venkatgiri,8625
ap-venkatgirikota,8587
ap-vijayawada,866
ap-vikrabad,8416
ap-vinjamuru,8629
ap-vinukonda,8646
ap-visakhapatnam,891
ap-vizayanagaram,8922
ap-vuyyuru,8676
ap-wanaparthy,8543
ap-warangal,870
ap-wardhannapet (ghanapur),8711
ap-yelamanchili,8931
ap-yelavaram,8865
ap-yeleswaram,8868
ap-yellandu,8745
ap-yellanuru,8550
ap-yellareddy,8465
ap-yerragondapalem,8403
ap-zahirabad,8451
as-abhayapuri,3669
as-baithalangshu,3677
as-barama,3623
as-barpeta road,3666
as-bihupuria,3759
as-bijni,3668
as-bilasipara,3667
as-bokajan,3675
as-bokakhat,3776
as-boko,3621
as-dhakuakhana,3758
as-dhemaji,3753
as-dhubri,3662
as-dibrugarh,373
as-digboi,3751
as-diphu,3671
as-goalpara,3663
as-gohpur,3715
as-golaghat,3774
as-guwahati,361
as-haflong,3673
as-hailakandi,3844
as-hajo,3664
as-hojai,3674
as-howraghat,3676
as-jorhat,376
as-karimganj,3843
as-kokrajhar,3661
as-maibong,3670
as-majuli,3775
as-mangaldoi,3713
as-mariani,3771
as-moranhat,3754
as-morigaon,3678
as-nagaon,3672
as-nalbari,3624
as-north lakhimpur,3752
as-rangapara,3714
as-sadiya,3756
as-sibsagar,3772
as-silchar,3842
as-tarabarihat,3665
as-tezpur,3712
as-tinsukhia,374
as-udalguri,3711
as-vdarbondh,3841
br-adhaura,6180
br-amarpur,6420
br-araria,6453
br-areraj,6258
br-arrah,6182
br-arwal,6337
br-aurangabad,6186
br-bagaha,6251
br-bagodar,6557
br-baharagora,6594
br-balumath,6568
br-banka,6424
br-banmankhi,6467
br-barachakia,6257
br-barauni,6279
br-barh,6132
br-barhi,6543
br-barkagaon,6551
br-barsoi,6451
br-barwadih,6567
br-basia,6533
br-begusarai,6243
br-benipatti,6271
br-benipur,6242
br-bermo,6549
br-bettiah,6254
br-bhabhua,6189
br-bhagalpur,641
br-bhandaria,6581
br-bhawanathpur,6563
br-bidupur,6229
br-biharsharif,6112
br-bikram,6135
br-bikramganj,6185
br-birpur,6471
br-bishrampur,6584
br-bokaro,6542
br-bolwa,6539
br-bundu,6530
br-buxar,6183
br-chaibasa,6582
br-chainpur,6586:6535
br-chakai,6347
br-chakardharpur,6587
br-chandil,6591
br-chapra,6152
br-chatra,6541
br-chavparan,6547
br-dalsinghsarai,6278
br-daltonganj,6562
br-danapur,6115
br-darbhanga,6272
br-daudnagar,6328
br-deoghar,6432
br-dhaka,6250
br-dhamdaha,6462
br-dhanbad,326
br-dumka,6434
br-dumraon,6323
br-dumri(isribazar),6558
br-ekma,6155
br-forbesganj,6455
br-garhwa,6561
br-garu,6569
br-gaya,631
br-ghaghra,6523
br-ghatsila,6585
br-giridih,6532
br-godda,6422
br-gogri,6245
br-gomia,6544
br-gopalganj,6156
br-govindpur,6540
br-gumla,6524
br-h.kharagpur,6342
br-hajipur,6224
br-hathua,6150
br-hazaribagh,6546
br-hilsa,6111
br-hunterganj,6550
br-ichak,6548
br-imamganj,6331
br-itki,6529
br-jagarnathpur,6588
br-jahanabad,6114
br-jainagar,6246
br-jamshedpur,657
br-jamtara,6433
br-jamui,6345
br-japla,6566
br-jhajha,6349
br-jhajharpur,6273
br-jharmundi,6431
br-jhinkpani,6589
br-jhumaritalaiya,6534
br-kahalgaon,6429
br-kathikund,6427
br-katihar,6452
br-katoria,6425
br-khagaria,6244
br-kharsawa,6583
br-khunti,6528
br-kishanganj,6466
br-kolebira,6527
br-korha,6457
br-lakhisarai,6346
br-latehar,6565
br-lohardaga,6526
br-madhepura,6476
br-madhubani,6276
br-madhupur,6438
br-mahagama,6437
br-maharajganj,6153
br-maheshpur raj,6423
br-mahua,6227
br-mairwa,6157
br-mallehpur,6348
br-mandar,6531
br-mandu,6545
br-manoharpur,6593
br-masrakh,6159
br-mohania,6187
br-monghyr,6344
br-motihari,6252
br-motipur,6223
br-muri,6522
br-muzaffarpur,621
br-nabinagar,6332
br-nagarutari,6564
br-nala,6428
br-narkatiaganj,6253
br-naugachia,6421
br-nawada,6324
br-noamundi,6596
br-pakribarwan,6325
br-pakridayal,6259
br-pakur,6435
br-palkot,6536
br-patan,6560
br-patna,612
br-phulparas,6277
br-piro,6181
br-pupri,6228
br-purnea,6454
br-rafiganj,6327
br-rajauli,6336
br-rajdhanwar,6554
br-rajmahal,6426
br-ramgarh,6553
br-ramnagar,6256
br-ranchi,651
br-raniganj,6461
br-raxaul,6255
br-rohtas,6188
br-rosera,6275
br-s.bakhtiarpur,6475
br-saharsa,6478
br-sahibganj,6436
br-samastipur,6274
br-saraikela (adstyapur),6597
br-sasaram,6184
br-seikhpura,6341
br-sheohar,6222
br-sherghati,6326
br-sidhawalia,6151
br-simaria,6559
br-simdega,6525
br-singhwara,6247
br-sitamarhi,6226
br-siwan,6154
br-sonepur,6158
br-supaul,6473
br-thakurganj,6459
br-tisri,6556
br-torpa,6538
br-triveniganj,6477
br-udakishanganj,6479
br-wazirganj,6322
by-mumbai,22
by-navi mumbai (turbhe),215
gj-ahemdabad local,79
gj-ahwa,2631
gj-amod,2641
gj-amreli,2792
gj-anand,2692
gj-anjar (gandhidham),2836
gj-ankleshwar,2646
gj-babra,2791
gj-balasinor,2690
gj-bansada,2630
gj-bardoli,2622
gj-bareja,2718
gj-barwala,2711
gj-bayad,2779
gj-bhachav,2837
gj-bhanvad,2896
gj-bharuch,2642
gj-bhavnagar,278
gj-bhiloda,2771
gj-bhuj,2832
gj-billimora,2634
gj-borsad,2696
gj-botad,2849
gj-chanasma,2734
gj-chhota udaipur,2669
gj-chotila,2751
gj-dabhoi,2663
gj-dahod,2673
gj-damnagar,2793
gj-danta,2749
gj-dasada,2757
gj-dediapada,2649
gj-deesa,2744
gj-dehgam,2716
gj-deodar,2735
gj-devgadhbaria,2678
gj-dhandhuka,2713
gj-dhanera,2748
gj-dharampur,2633
gj-dhari,2797
gj-dholka,2714
gj-dhoraji,2824
gj-dhrangadhra,2754
gj-dhrol,2897
gj-fortsongadh,2624
gj-gadhada,2847
gj-gandhi nagar,2712
gj-gariadhar,2843
gj-godhra,2672
gj-gogodar,2806
gj-gondal,2825
gj-halol,2676
gj-halvad,2758
gj-harij,2733
gj-himatnagar,2772
gj-idar,2778
gj-jambusar,2644
gj-jamjodhpur,2898
gj-jamkalyanpur,2891
gj-jamnagar,288
gj-jasdan,2821
gj-jetpur,2823
gj-jhagadia,2645
gj-jhalod,2679
gj-jodia,2893
gj-junagarh,285
gj-kalawad,2894
gj-kalol,2764
gj-kapad wanj,2691
gj-keshod,2871
gj-khambat,2698
gj-khambhalia,2833
gj-khavda,2803
gj-kheda,2694
gj-khedbrahma,2775
gj-kheralu,2761
gj-kodinar,2795
gj-kotdasanghani,2827
gj-kunkawav,2796
gj-kutchmandvi,2834
gj-kutiyana,2804
gj-lakhpat,2839
gj-lakhtar,2759
gj-lalpur,2895
gj-limbdi,2753
gj-limkheda,2677
gj-lunavada,2674
gj-m.m.mangrol,2629
gj-mahuva,2844
gj-malia-hatina,2870
gj-maliya miyana,2829
gj-malpur,2773
gj-manavadar,2874
gj-mandvi,2623
gj-mangrol,2878
gj-mehsana,2762
gj-miyagam,2666
gj-modasa,2774
gj-morvi,2822
gj-muli,2756
gj-mundra,2838
gj-nadiad,268
gj-nakhatrana,2835
gj-nalia,2831
gj-naswadi,2661
gj-navsari,2637
gj-nizar,2628
gj-okha,2892
gj-paddhari,2820
gj-padra,2662
gj-palanpur,2742
gj-palitana,2848
gj-patan,2766
gj-pavijetpur,2664
gj-porbander,286
gj-prantij,2770
gj-radhanpur,2746
gj-rahpar,2830
gj-rajkot,281
gj-rajpipla,2640
gj-rajula,2794
gj-ranavav,2801
gj-retlad,2697
gj-sanand,2717
gj-sankheda,2665
gj-santalpur,2738
gj-santrampur,2675
gj-savarkundla,2845
gj-savli,2667
gj-sayan,2621
gj-sayla,2755
gj-shehra,2670
gj-sidhpur,2767
gj-sihor,2846
gj-sumrasar,2808
gj-surat,261
gj-surendranagar,2752
gj-talaja,2842
gj-talala,2877
gj-thara,2747
gj-tharad,2737
gj-thasra,2699
gj-una-diu,2875
gj-upleta,2826
gj-vadgam,2739
gj-vadodara,265
gj-valia,2643
gj-vallabhipur,2841
gj-valod,2625
gj-valsad,2632
gj-vanthali,2872
gj-vapi,260
gj-vav,2740
gj-veraval,2876
gj-vijapur,2763
gj-viramgam,2715
gj-visavadar,2873
gj-visnagar,2765
gj-vyara,2626
gj-waghodia,2668
gj-wankaner,2828
ha-adampur mandi,1669
ha-ambala,171
ha-assandh,1749
ha-bahadurgarh,1276
ha-barara,1731
ha-barwala,1693
ha-bawal,1284
ha-bawanikhera,1254
ha-bhiwani,1664
ha-chaaharauli,1735
ha-charkhidadri,1250
ha-cheeka,1743
ha-dabwali,1668
ha-ellenabad,1698
ha-faridabad,129
ha-fatehabad,1667
ha-ferojpur,1268
ha-gharaunda,1748
ha-gohana,1263
ha-gurgaon,124
ha-hansi,1663
ha-hissar,1662
ha-jagadhari,1732
ha-jatusana,1281
ha-jhajjar,1251
ha-jind,1681
ha-julana,1683
ha-kaithal,1746
ha-kalanaur,1258
ha-kalanwali,1696
ha-kalka,1733
ha-karnal,184
ha-kosli,1259
ha-kurukshetra,1744
ha-loharu,1252
ha-meham,1257
ha-mohindergarh,1285
ha-naraingarh,1734
ha-narnaul,1282
ha-narwana,1684
ha-nilokheri,1745
ha-nuh,1267
ha-palwal,1275
ha-panipat,180
ha-pehowa,1741
ha-ratia,1697
ha-rewari,1274
ha-rohtak,1262
ha-safidon,1686
ha-sirsa,1666
ha-siwani,1255
ha-sonipat,130
ha-tohana,1692
ha-tohsham,1253
hp-amb,1976
hp-arki,1796
hp-banjar,1903
hp-bharmour,1895
hp-bilaspur,1978
hp-chamba,1899
hp-churah (tissa),1896
hp-dehra gopipur,1970
hp-hamirpur,1972
hp-jogindernagar,1908
hp-kalpa,1786
hp-kangra (dharamsala),1892
hp-kullu,1902
hp-lahul (keylong),1900
hp-mandi,1905
hp-nahan,1702
hp-nalagarh,1795
hp-nirmand,1904
hp-nurpur,1893
hp-palampur,1894
hp-pangi (killar),1897
hp-paonta,1704
hp-pooh,1785
hp-rajgarh,1799
hp-rampur bushahar,1782
hp-rohru,1781
hp-shimla,177
hp-solan,1792
hp-spiti (kaza),1906
hp-sundernagar,1907
hp-theog,1783
hp-udaipur,1909
hp-una,1975
jk-akhnoor,1924
jk-anantnag,1932
jk-badgam,1951
jk-bandipur,1957
jk-baramulla,1952
jk-basholi,1921
jk-bedarwah,1997
jk-doda,1996
jk-jammu,191
jk-kalakot,1964
jk-kargil,1985
jk-karnah,1958
jk-kathua,1922
jk-kishtwar,1995
jk-kulgam,1931
jk-kupwara,1955
jk-leh,1982
jk-mahore,1999
jk-nobra,1980
jk-nowshera,1960
jk-nyoma,1981
jk-pahalgam,1936
jk-poonch,1965
jk-pulwama,1933
jk-rajouri,1962
jk-ramban,1998
jk-ramnagar,1990
jk-reasi,1991
jk-samba,1923
jk-sopore,1954
jk-srinagar,194
jk-udhampur,1992
jk-uri,1956
jk-zanaskar,1983
kl-adimaly,4864
